No,Plat Nomor,Domisili,Jenis Mobil
1,B 1871 UYZ,Jakarta Utara,Daihatsu Xenia
2,B 1318 SZA,Jakarta Selatan,Toyota Avanza
3,B 1866 KZN,Bekasi,Daihatsu Xenia
4,B 1680 FFX,Bekasi,Toyota Avanza
5,F 1884 INI,Jakarta Pusat,Toyota Avanza
6,B 1614 WKT,Tangerang,Toyota Avanza
7,B 1400 TOL,Jakarta Timur,Toyota Avanza
8,B 1989 COG,Tangerang,Daihatsu Xenia
9,B 1157 PIN,Jakarta Pusat,Daihatsu Xenia
10,B 1488 BOL,Jakarta Barat,Daihatsu Xenia
11,B 2127 BKE,Jakarta Barat,Toyota Avanza
12,B 1733 BIA,Jakarta Barat,Daihatsu Xenia
13,F 1440 CV,Tangerang,Toyota Avanza
14,B 1696 PYH,Jakarta Pusat,Daihatsu Xenia
15,B 1402 TZT,Jakarta Timur,Toyota Avanza
16,B 2927 TKM,Jakarta Timur,Toyota Avanza
17,B 2442 TKY,Jakarta Timur,Toyota Avanza
18,B 2653 SOI,Jakarta Selatan,Toyota Avanza
19,B 1252 WKY,Tangerang,Toyota Avanza
20,B 2829 TKE,Jakarta Timur,Toyota Avanza
21,B 1892 OP,Jakarta Pusat,Toyota Avanza
22,B 1631 URS,Jakarta Utara,Daihatsu Xenia
23,F 1661 RM,Jakarta Pusat,Toyota Avanza
24,B 2862 SKC,Jakarta Selatan,Daihatsu Xenia
25,B 1479 PRY,Jakarta Pusat,Toyota Avanza
26,B 2644 SOK,Jakarta Selatan,Toyota Avanza
27,B 1007 UOD,Jakarta Utara,Toyota Avanza
28,B 1457 POO,Jakarta Pusat,Toyota Avanza
29,B 2109 SFM,Jakarta Selatan,Toyota Avanza
30,B 8363 XB,Jakarta Pusat,Toyota Avanza
31,B 1039 UZW,Jakarta Utara,Toyota Avanza
32,B 2117 SKP,Jakarta Selatan,Toyota Avanza
33,F 1462 UT,Jakarta Utara,Toyota Avanza
34,B 1276 BIE,Jakarta Barat,Daihatsu Xenia
35,B 1684 VKJ,Tangerang,Toyota Avanza
36,B 1369 BYT,Jakarta Barat,Daihatsu Xenia
37,B 1007 BMF,Jakarta Barat,Toyota Avanza
38,B 2990 SKU,Jakarta Selatan,Daihatsu Xenia
39,B 1515 NOF,Tangerang,Toyota Avanza
40,B 2387 TOY,Jakarta Timur,Toyota Avanza
41,B 2579 UFG,Jakarta Utara,Toyota Avanza
42,B 2904 BKY,Jakarta Barat,Toyota Avanza
43,DK 1660 FS,Bali,Daihatsu Xenia
44,DK 1298 GM,Bali,Daihatsu Xenia
45,DK 1172 FK,Bali,Toyota Avanza
46,DK 1972 IE,Bali,Daihatsu Xenia
47,DK 1614 HS,Bali,Daihatsu Xenia
48,DK 256 BS,Bali,Daihatsu Xenia
49,DK 1915 CJ,Bali,Daihatsu Xenia
50,DK 1780  MS,Bali,Daihatsu Xenia
51,DK 466 ES,Bali,Toyota Avanza
52,DK 1102 KM,Bali,Daihatsu Xenia
53,DK 1628 FS,Bali,Toyota Avanza
54,DK 1176 BISA,Bali,Daihatsu Xenia
55,DK 1961 AS,Bali,Daihatsu Xenia
56,DK 1398 EKA,Bali,Toyota Avanza
57,DK 634 AS,Bali,Daihatsu Xenia
58,DK 1572 PS,Bali,Toyota Avanza
59,DK 1819 BP,Bali,Toyota Avanza
60,DK 453 QS,Bali,Daihatsu Xenia
61,DK 1065 BP,Bali,Daihatsu Xenia
62,DK 1956Â UX,Bali,Daihatsu Xenia
63,F 1404 AD,Bogor,Toyota Avanza
64,F 1295 AL,Bpgor,Daihatsu Xenia
65,F 1844 AI,Bogor,Toyota Avanza
66,B 1936 KIV,Bekasi,Toyota Avanza
67,F 1659 LM,Bogor,Daihatsu Xenia
68,B 1846 URG,Bogor,Daihatsu Xenia
69,F 1140 KJ,Bogor,Toyota Avanza
70,F 1530 AA,Bogor,Toyota Avanza
71,B 1305 CFU,Tangerang,Toyota Avanza
72,F 1889 EC,Bogor,Toyota Avanza
73,F 1749 AO,Bogor,Daihatsu Xenia
74,F 1480 AB,Bogor,Toyota Avanza
75,F 1510 PM,Bogor,Toyota Avanza
76,F 1392 BT,Bogor,Toyota Avanza
77,F 1604 ND,Bogor,Daihatsu Xenia
78,B 1002 UIP,Jakarta Utara,Daihatsu Xenia
79,B 1003 BWL,Jakarta Barat,Daihatsu Xenia
80,B 1007 TIU,Jakarta Timur,Toyota Avanza
81,B 1030 SIU,Jakarta Selatan,Toyota Avanza
82,B 1045 FOH,Bekasi,Toyota Avanza
83,B 1187 KZD,Bekasi,Daihatsu Xenia
84,B 1382 FKM,Bekasi,Toyota Avanza
85,B 1460 KZZ,Bekasi,Toyota Avanza
86,B 1596 KZA,Bekasi,Toyota Avanza
87,B 1655 BYO,Jakarta Barat,Daihatsu Xenia
88,B 1683 UIG,Jakarta Utara,Daihatsu Xenia
89,B 1767 PRE,Jakarta Pusat,Daihatsu Xenia
90,B 1985 NRS,Tangerang,Daihatsu Xenia
91,B 2126 TKB,Jakarta Timur,Toyota Avanza
92,B 2210 TKE,Jakarta Timur,Toyota Avanza
93,B 2293 PFP,Jakarta Pusat,Daihatsu Xenia
94,B 2415 BYJ,Jakarta Barat,Daihatsu Xenia
95,B 2564 TFQ,Jakarta Timur,Daihatsu Xenia
96,B 2782 KKE,Bekasi,Toyota Avanza
97,B 2881 SFJ,Jakarta Selatan,Daihatsu Xenia
98,B 2996 BFC,Jakarta Barat,Toyota Avanza
99,F 1462 UT,Bogor,Daihatsu Xenia
100,B 1488 EOL,Depok,Daihatsu Xenia
